BAS.INSTNAMEENGL;STUD.TOTALISCED5-7
HKS - University of applied sciences and arts in Ottersberg;290
Private Hochschule für Wirtschaft und Technik Vechta/Diepholz/Oldenburg;475
Aachen University of Applied Sciences;13369
Bielefeld University of Applied Sciences;10250
Bochum University of Applied Sciences;7390
University of Applied Sciences Bonn-Rhein-Sieg;8865
Dortmund University of Applied Sciences and Arts;13555
Düsseldorf University of Applied Sciences;10844
Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen;7213
Cologne University of Applied Sciences;21840
Ostwestfalen-Lippe University of Applied Sciences;5776
Münster University of Applied Sciences;14551
Niederrhein University of Applied Sciences;12810
South Westphalia University of Applied Sciences;10497
IU International University of Applied Sciences;116296
;5535
Georg Agricola University of Applied Sciences;2189
EBZ Business School - University of Applied Sciences;1079
University of Applied Sciences - Bonn;737
European University of Applied Sciences;2180
Private Fachhochschule International School of Management, Dortmund;3440
FOM University of Applied Sciences;47098
SRH Hochschule für Logistik und Wirtschaft Hamm (Priv. FH);736
University of Europe for Applied Sciences;5508
Rheinische Fachhochschule Cologne;5657
Private Fachhochschule der Wirtschaft Paderborn;2011
Fachhochschule der Diakonie Bielefeld-Bethel;719
Rheinland-Westfalen-Lippe Protestant University of Applied Sciences;2551
Nordrhein-Westfalen Catholic University of Applied Sciences;5543
TH Bingen University of Applied Sciences;2295
Kaiserslautern University of Applied Sciences;5411
Koblenz University of Applied Sciences;8708
University of Applied Sciences Ludwigshafen am Rhein;4195
Mainz University of Applied Sciences;5498
Trier University of Applied Sciences;6622
Worms University of Applied Sciences;3184
Mainz Catholic University of Applied Sciences;1452
University of Applied Sciences Saarbrücken;6071
Deutsche Hochschule für Prävention und Gesundheitsmanagement, Saarbrücken (Priv. FH);6506
Dresden University of Applied Sciences;4551
Leipzig University of Applied Sciences;6555
University of Applied Sciences Mittweida;6094
Zittau/Görlitz University of Applied Sciences;2336
University of Applied Sciences Zwickau;2893
Evangelische Hochschule für Soziale Arbeit, Dresden (FH);829
Anhalt University of Applied Sciences;7047
Harz University of Applied Sciences;2825
