ETER_ID,English_Institution_Name,Institution_Name,Reference_year,Country_Code,Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Student_fees_funding_(EURO),Total_third_party_funding_(EURO),Personnel_expenditure_(EURO),R&D_Expenditure_(EURO),Total_students_enrolled_ISCED_5_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Name,Overall SCORE,AR SCORE,ER SCORE,FSR SCORE,CPF SCORE,IFR SCORE,ISR SCORE,EO SCORE,SUS SCORE,Rank,Size,Focus,Research,Status,graduation_rate
LT0008,Kaunas University of Technology,Kauno technologijos universitetas,2020,LT,Kaunas,,,,,,,,,,Kaunas University of Technology,,15.1,22.0,37.9,17.5,4.8,40.0,29.0,58.9,741-750,M,FO,VH,Public,
LT0009,Vytautas Magnus University,Vytauto Didžiojo universitetas,2020,LT,Kaunas,,,,,,,,,,Vytautas Magnus University,,14.0,19.9,44.2,5.0,46.8,70.8,26.8,47.0,741-750,M,FO,VH,Public,
LU0001,University of Luxembourg,Université du Luxembourg,2020,LU,Luxembourg,,,,,,171245357.0,5853.0,1635.0,151.0,University of Luxembourg,39.4,13.2,8.2,87.2,39.5,100.0,100.0,58.8,42.4,381,M,FO,VH,,0.27934392619169657
LV0001,University of Latvia,Latvijas Universitate,2020,LV,Riga,110675528.0,,14119266.0,16290007.0,48192518.0,26826778.0,14626.0,3105.0,39.0,University of Latvia,,14.5,22.8,10.0,10.4,16.1,10.0,92.0,56.0,801-850,M,FC,VH,Public,0.2122931765349378
LV0002,Riga Technical University,Rigas Tehniska universitate,2020,LV,Riga,78348367.0,,8553866.0,5404511.0,38011023.0,21654728.0,13491.0,2054.0,30.0,Riga Technical University,,12.6,31.9,31.7,6.0,22.1,84.9,40.5,47.6,761-770,M,CO,VH,Public,0.15224964791342377
LV0004,Latvia University of Life Sciences and Technologies,Latvia University of Life Sciences and Technologies,2020,LV,Jelgava,35304641.0,,2566837.0,2376359.0,16001049.0,11427912.0,3751.0,688.0,10.0,Latvia University of Life Sciences and Technologies,,7.5,10.1,5.7,7.9,1.8,16.5,17.7,35.8,1201-1400,S,FO,VH,Public,0.1834177552652626
MT0001,University of Malta,University of Malta (L'Universita` ta` Malta),2020,MT,Msida,100708642.0,81144546.0,9180236.0,7508682.0,,30269555.0,,,44.0,University of Malta,,9.3,7.4,47.7,10.1,33.1,42.2,98.1,38.2,741-750,M,FC,VH,Public,
NL0003,Delft University of Technology,Technische Universiteit Delft,2020,NL,Delft,790136000.0,468693000.0,77949000.0,198397000.0,522334000.0,,26028.0,6806.0,380.0,Delft University of Technology,84.3,86.2,90.4,49.1,84.6,100.0,94.8,66.0,96.3,47,L,CO,VH,Public,0.2614876287075457
NL0004,Eindhoven University of Technology,Technische Universiteit Eindhoven,2020,NL,Eindhoven,412600000.0,254600000.0,31200000.0,111100000.0,284200000.0,,12873.0,3258.0,241.0,Eindhoven University of Technology,63.2,40.5,77.3,43.6,81.9,100.0,95.7,33.1,74.1,140,M,FO,VH,Public,0.25308785830808667
NL0005,University of Twente,Universiteit Twente,2020,NL,Enschede,368600000.0,237400000.0,33100000.0,79800000.0,256000000.0,,12219.0,3270.0,447.0,University of Twente,55.2,29.3,40.5,56.0,77.0,100.0,95.2,32.6,79.6,203,M,CO,VH,Public,0.26761600785661677
NL0006,University of Groningen,Rijksuniversiteit Groningen,2020,NL,Groningen,716159700.0,443324000.0,79440900.0,136276600.0,525276200.0,,34126.0,10068.0,591.0,University of Groningen,62.5,67.2,41.6,56.2,53.0,95.4,89.4,53.5,67.6,147,XL,FC,VH,Public,0.29502432163160053
NL0007,Leiden University,Universiteit Leiden,2020,NL,Leiden,707000000.0,405500000.0,76000000.0,190500000.0,501900000.0,,32448.0,9498.0,447.0,Leiden University,65.7,80.4,46.3,30.3,64.9,89.7,68.4,61.2,58.6,119,XL,FC,VH,Public,0.2927144970414201
NL0008,Maastricht University,Universiteit Maastricht,2020,NL,Maastricht,477286000.0,281063000.0,45555000.0,110987000.0,344454000.0,,19723.0,6715.0,312.0,Maastricht University,51.4,32.8,33.7,18.6,71.7,99.9,100.0,49.6,80.2,239,L,FO,VH,Public,0.3404654464330984
NL0009,Radboud University Nijmegen,Radboud Universiteit Nijmegen,2020,NL,Nijmegen,614776000.0,337993000.0,45077000.0,191303000.0,464787000.0,,23566.0,6428.0,391.0,Radboud University Nijmegen,47.6,38.6,20.3,34.8,73.2,83.5,30.1,34.9,67.7,279,L,FC,VH,Public,0.2727658491046423
NL0010,Erasmus University Rotterdam,Erasmus Universiteit Rotterdam,2020,NL,Rotterdam,686200000.0,325800000.0,66700000.0,190400000.0,496600000.0,,30085.0,10554.0,335.0,Erasmus University Rotterdam,63.2,49.4,74.8,20.7,75.7,81.8,81.6,94.0,62.2,140,L,FO,VH,Public,0.35080604952634203
NL0011,Tilburg University,Universiteit van Tilburg,2020,NL,Tilburg,242434996.0,146307094.0,37950037.0,46563325.0,187644556.0,,19306.0,5967.0,102.0,Tilburg University,41.6,20.5,37.1,16.8,67.1,99.0,77.4,23.1,50.6,347,L,SP,VH,Public,0.309074898995131
