DATAFLOW,LAST UPDATE,freq,unit,isced11,iscedf13,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 28 countries (2013-2020),2019,2955718,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2015,68461,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2016,67590,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2017,69395,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2018,70578,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2019,63210,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2020,57495,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2021,60388,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2022,59529,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2023,60772,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Finland,2024,63971,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2015,581162,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2016,583288,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2017,586594,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2018,577856,d,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2019,562198,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2020,595334,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2021,408264,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2022,409917,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2023,403342,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,France,2024,411407,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Georgia,2023,,m,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Croatia,2015,35273,d,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Croatia,2016,33487,,
